Cód. de Barras;Produto;Fabricante;Classificação Principal
7894650005088;PURIFICADOR DE AR GLADE AUTO 269ML CLEAN LINEN;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650014066;PURIFICADOR DE AR GLADE AUTO 269ML DOCE FANTASIA;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650938614;PURIFICADOR DE AR GLADE AUTOM 269ML FLORES;KENVUE - PERFUMARIA;PRINCIPAL > CONVENIENCIA > CONV-LIMPEZA E UTILIDADES > CONV-LIMPEZA
7894650938058;PURIFICADOR DE AR GLADE AUTOM 269ML FRUTAS;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650938331;PURIFICADOR DE AR GLADE AUTOM 269ML ROSAS;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650007822;PURIFICADOR GLADE AERO 360ML FRUTAS E FLORES VIBRANTES;SC JOHNSON LTDA;PRINCIPAL > CONVENIENCIA > CONV-LIMPEZA E UTILIDADES > CONV-LIMPEZA
7894650938430;PURIFICADOR GLADE AERO 360ML FRUTAS FLORES;KENVUE - PERFUMARIA;PRINCIPAL > CONVENIENCIA > CONV-ELETRÔNICOS > CONV-ELETRÔNICOS-LEVEME
7894650013861;PURIFICADOR GLADE AERO 360ML LAVANDA;KENVUE - PERFUMARIA;PRINCIPAL > CONVENIENCIA > CONV-LIMPEZA E UTILIDADES > CONV-LIMPEZA
7894650014448;PURIFICADOR GLADE AERO 360ML LEMB INFANCIA;KENVUE - PERFUMARIA;PRINCIPAL > CONVENIENCIA > CONV-LIMPEZA E UTILIDADES > CONV-LIMPEZA
7894650001622;PURIFICADOR GLADE AERO 360ML MANHA CAMPO;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650938287;PURIFICADOR GLADE AERO 360ML ROSAS;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7894650939710;PURIFICADOR GLADE AERO 360ML TANGERINA;JOHNSON & JOHNSON;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
7896522035803;PURISSIMO CAPICILIN 55ML OLEO DE COCO UMECTANTE;CAPICILIN;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
7899854304302;PUROFER 150 MG C/ 30 CP (LABNAT);METALAB;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7899854304395;PUROFER 150 MG C/ 60 CP (LABNAT);HYPERMARCAS S/A;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7899854304401;PUROFER 250 MG GOTAS 30 ML (LABNAT);METALAB;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-VITAMINAS
7898048693574;PYLOOUT 30SACHE 5G;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896422519489;PYLORIPAC 14BL C/8 CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896422502559;PYLORIPAC C/ 56 CAP/CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896658054013;PYLORIPAC IBP C/ 56 CAP/CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896422506038;PYLORIPAC IBP C/ 70 CAP/CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896422507769;PYLORIPAC IBP C/ 84 CAP/CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7896422518710;PYLORIPAC RETRAT C/ 70 CAP/CP;MEDLEY IND. FARM-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
